name,provider,rocket,status,launch_time,pad,mission_type,year,month,day,day_of_week,hour,provider_id,rocket_id,mission_type_id,pad_id
Sputnik 8K71PS | Sputnik-1,RVSN USSR,Sputnik 8K71PS,Launch Successful,1957-10-04 19:28:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1957,10,4,Friday,19,40,282,7,83
Thor-DM18 Agena-A | Discoverer 10,US Air Force,Thor-DM18 Agena-A,Launch Failure,1960-02-19 20:15:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1960,2,19,Friday,20,48,295,7,59
Atlas-LV3 Agena-A | Midas 1,General Dynamics,Atlas-LV3 Agena-A,Launch Failure,1960-02-26 17:25:00+00:00,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,1960,2,26,Friday,17,17,58,7,24
Thor DM-18 Able-IV | Pioneer 5,US Air Force,Thor DM-18 Able-IV,Launch Successful,1960-03-11 13:00:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1960,3,11,Friday,13,48,290,7,57
Thor DM-18 Able-II | TIROS-1,US Air Force,Thor DM-18 Able-II,Launch Successful,1960-04-01 11:40:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1960,4,1,Friday,11,48,288,7,57
Thor-DM21 Ablestar | Transit 1B,US Air Force,Thor-DM21 Ablestar,Launch Successful,1960-04-13 12:02:00+00:00,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,1960,4,13,Wednesday,12,48,296,7,58
Vostok | E-3 n†­2 (Luna-3),RVSN USSR,Vostok,Launch Failure,1960-04-15 15:06:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,4,15,Friday,15,40,331,7,83
Thor-DM18 Agena-A | Discoverer 11,US Air Force,Thor-DM18 Agena-A,Launch Successful,1960-04-15 20:30:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1960,4,15,Friday,20,48,295,7,59
Thor DM-19 Delta | Echo 1,US Air Force,Thor DM-19 Delta,Launch Failure,1960-05-13 09:16:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1960,5,13,Friday,9,48,291,7,57
Vostok | Korabl-Sputnik 1,RVSN USSR,Vostok,Launch Successful,1960-05-15 00:00:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,5,15,Sunday,0,40,331,7,83
Atlas-LV3 Agena-A | Midas 2,General Dynamics,Atlas-LV3 Agena-A,Launch Successful,1960-05-24 17:36:00+00:00,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,1960,5,24,Tuesday,17,17,58,7,24
Thor-DM21 Ablestar | Transit 2A & GRAB-1,US Air Force,Thor-DM21 Ablestar,Launch Successful,1960-06-22 05:54:00+00:00,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,1960,6,22,Wednesday,5,48,296,7,58
Thor-DM18 Agena-A | Discoverer 12,US Air Force,Thor-DM18 Agena-A,Launch Failure,1960-06-29 22:00:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1960,6,29,Wednesday,22,48,295,7,60
Vostok | 1K n†­2 (Korabl-Sputnik 2),RVSN USSR,Vostok,Launch Failure,1960-07-28 09:31:00+00:00,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,1960,7,28,Thursday,9,40,331,7,83
Atlas-D Mercury | Mercury-Atlas 1 (MA-1),NASA,Atlas-D Mercury,Launch Failure,1960-07-29 13:13:00+00:00,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,1960,7,29,Friday,13,35,43,7,24
Thor-DM18 Agena-A | Discoverer 13,US Air Force,Thor-DM18 Agena-A,Launch Successful,1960-08-10 20:37:00+00:00,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,1960,8,10,Wednesday,20,48,295,7,59
Thor DM-19 Delta | Echo 1A,US Air Force,Thor DM-19 Delta,Launch Successful,1960-08-12 09:39:00+00:00,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,1960,8,12,Friday,9,48,291,7,57
Thor-DM18 Agena-A | Discoverer 14,US Air Force,Thor-DM18 Agena-A,Launch Successful,1960-08-18 19:57:00+00:00,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,1960,8,18,Thursday,19,48,295,7,60
