False Positive Rate,True Positive Rate,Threshold
0.7777777777777778,0.9604743083003953,0.6966961250984349
0.7777777777777778,0.9617918313570487,0.6883202243218047
0.8024691358024691,0.9617918313570487,0.6807971970169688
0.8024691358024691,0.9683794466403162,0.6540148217756575
0.8148148148148148,0.9683794466403162,0.6534261681060692
0.8148148148148148,0.9723320158102767,0.6302931807165065
0.8395061728395061,0.9723320158102767,0.6161769094791775
0.8395061728395061,0.9749670619235836,0.6053905894728316
0.8518518518518519,0.9749670619235836,0.6039417633445628
0.8518518518518519,0.9776021080368906,0.5893589818790885
0.8765432098765432,0.9776021080368906,0.5859083313916802
0.8765432098765432,0.9815546772068511,0.5744080408334751
0.9012345679012346,0.9815546772068511,0.5685718061349773
0.9012345679012346,0.9828722002635046,0.5632667892432599
0.9135802469135802,0.9828722002635046,0.562270536240109
0.9135802469135802,0.9907773386034255,0.5373630087813545
0.9259259259259259,0.9907773386034255,0.5232292734802055
0.9259259259259259,0.9960474308300395,0.4866897069309354
0.9629629629629629,0.9960474308300395,0.46565218292876637
0.9629629629629629,0.997364953886693,0.46430842505430125
0.9753086419753086,0.997364953886693,0.45029210508798506
0.9753086419753086,0.9986824769433466,0.402297656496192
1.0,0.9986824769433466,0.25304648997778323
1.0,1.0,0.22393413546299457
